YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,Route,ORIGIN,DEST,DEST_CITY,DEST_STATE,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,PASSENGERS,EMPFULL,EMPPART,EMPTOTAL,EMPFTE,NET_INCOME,OP_REVENUES
2018,1,1,9,2,2018-01-09,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,625,-5,0,0,-1,0600-0659,12,637,712,7,729,719,-10,0,0,-1,0700-0759,0,,0,59,54,35,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,9,2,2018-01-09,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1358,116,116,1,7,1200-1259,12,1410,1445,6,1304,1451,107,107,1,7,1300-1359,0,,0,62,53,35,145,0,0,10,0,97,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,9,2,2018-01-09,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1749,-10,0,0,-1,1700-1759,5,1754,1826,7,1907,1833,-34,0,0,-2,1900-1959,0,,0,68,44,32,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,10,3,2018-01-10,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,619,-11,0,0,-1,0600-0659,18,637,717,8,729,725,-4,0,0,-1,0700-0759,0,,0,59,66,40,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,10,3,2018-01-10,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1150,-12,0,0,-1,1200-1259,20,1210,1248,11,1304,1259,-5,0,0,-1,1300-1359,0,,0,62,69,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,10,3,2018-01-10,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1744,-15,0,0,-1,1700-1759,53,1837,1911,11,1907,1922,15,15,1,1,1900-1959,0,,0,68,98,34,145,0,0,15,0,0,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,11,4,2018-01-11,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,620,-10,0,0,-1,0600-0659,9,629,701,10,729,711,-18,0,0,-2,0700-0759,0,,0,59,51,32,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,11,4,2018-01-11,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1210,8,8,0,0,1200-1259,32,1242,1319,10,1304,1329,25,25,1,1,1300-1359,0,,0,62,79,37,145,0,0,17,0,8,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,11,4,2018-01-11,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1812,13,13,0,0,1700-1759,17,1829,1913,14,1907,1927,20,20,1,1,1900-1959,0,,0,68,75,44,145,0,9,7,0,4,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,12,5,2018-01-12,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,628,-2,0,0,-1,0600-0659,17,645,718,5,729,723,-6,0,0,-1,0700-0759,0,,0,59,55,33,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,12,5,2018-01-12,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1213,11,11,0,0,1200-1259,17,1230,1311,8,1304,1319,15,15,1,1,1300-1359,0,,0,62,66,41,145,0,0,14,0,1,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,12,5,2018-01-12,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1752,-7,0,0,-1,1700-1759,11,1803,1846,9,1907,1855,-12,0,0,-1,1900-1959,0,,0,68,63,43,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,13,6,2018-01-13,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,624,-6,0,0,-1,0600-0659,11,635,713,5,728,718,-10,0,0,-1,0700-0759,0,,0,58,54,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,13,6,2018-01-13,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1400,1349,-11,0,0,-1,1400-1459,18,1407,1447,4,1500,1451,-9,0,0,-1,1500-1559,0,,0,60,62,40,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,14,7,2018-01-14,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,621,-9,0,0,-1,0600-0659,15,636,710,6,729,716,-13,0,0,-1,0700-0759,0,,0,59,55,34,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,14,7,2018-01-14,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1400,1344,-16,0,0,-2,1400-1459,8,1352,1426,4,1501,1430,-31,0,0,-2,1500-1559,0,,0,61,46,34,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,15,1,2018-01-15,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,618,-12,0,0,-1,0600-0659,10,628,704,3,729,707,-22,0,0,-2,0700-0759,0,,0,59,49,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,15,1,2018-01-15,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1152,-10,0,0,-1,1200-1259,27,1219,1256,13,1304,1309,5,5,0,0,1300-1359,0,,0,62,77,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,15,1,2018-01-15,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1754,-5,0,0,-1,1700-1759,11,1805,1841,12,1907,1853,-14,0,0,-1,1900-1959,0,,0,68,59,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,16,2,2018-01-16,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,617,-13,0,0,-1,0600-0659,13,630,702,4,729,706,-23,0,0,-2,0700-0759,0,,0,59,49,32,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,16,2,2018-01-16,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1157,-5,0,0,-1,1200-1259,13,1210,1245,9,1304,1254,-10,0,0,-1,1300-1359,0,,0,62,57,35,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,16,2,2018-01-16,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,,,,,,1700-1759,,,,,1907,,,,,,1900-1959,1,C,0,68,,,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,17,3,2018-01-17,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,632,2,2,0,0,0600-0659,32,704,744,11,729,755,26,26,1,1,0700-0759,0,,0,59,83,40,145,0,0,26,0,0,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,17,3,2018-01-17,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,,,,,,1200-1259,,,,,1304,,,,,,1300-1359,1,C,0,62,,,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,17,3,2018-01-17,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,,,,,,1700-1759,,,,,1907,,,,,,1900-1959,1,C,0,68,,,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,18,4,2018-01-18,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,756,86,86,1,5,0600-0659,18,814,850,11,729,901,92,92,1,6,0700-0759,0,,0,59,65,36,145,86,0,6,0,0,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,18,4,2018-01-18,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1409,127,127,1,8,1200-1259,22,1431,1509,12,1304,1521,137,137,1,9,1300-1359,0,,0,62,72,38,145,0,0,10,0,127,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,18,4,2018-01-18,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1837,38,38,1,2,1700-1759,10,1847,1926,6,1907,1932,25,25,1,1,1900-1959,0,,0,68,55,39,145,0,0,1,0,24,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,19,5,2018-01-19,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,625,-5,0,0,-1,0600-0659,16,641,720,12,729,732,3,3,0,0,0700-0759,0,,0,59,67,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,19,5,2018-01-19,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1157,-5,0,0,-1,1200-1259,11,1208,1243,8,1304,1251,-13,0,0,-1,1300-1359,0,,0,62,54,35,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,19,5,2018-01-19,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1741,-18,0,0,-2,1700-1759,36,1817,1901,10,1907,1911,4,4,0,0,1900-1959,0,,0,68,90,44,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,20,6,2018-01-20,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,615,-15,0,0,-1,0600-0659,13,628,704,7,728,711,-17,0,0,-2,0700-0759,0,,0,58,56,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,20,6,2018-01-20,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1400,1350,-10,0,0,-1,1400-1459,13,1403,1438,6,1500,1444,-16,0,0,-2,1500-1559,0,,0,60,54,35,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,21,7,2018-01-21,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,632,2,2,0,0,0600-0659,15,647,725,5,729,730,1,1,0,0,0700-0759,0,,0,59,58,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,21,7,2018-01-21,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1147,-15,0,0,-1,1200-1259,23,1210,1249,10,1304,1259,-5,0,0,-1,1300-1359,0,,0,62,72,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,21,7,2018-01-21,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1755,-4,0,0,-1,1700-1759,24,1819,1858,10,1907,1908,1,1,0,0,1900-1959,0,,0,68,73,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,22,1,2018-01-22,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,630,,,,,0600-0659,13,643,718,6,729,724,-5,0,0,-1,0700-0759,0,,0,59,54,35,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,22,1,2018-01-22,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1200,-2,0,0,-1,1200-1259,27,1227,1303,12,1304,1315,11,11,0,0,1300-1359,0,,0,62,75,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,22,1,2018-01-22,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1846,47,47,1,3,1700-1759,15,1901,1942,13,1907,1955,48,48,1,3,1900-1959,0,,0,68,69,41,145,0,0,1,0,47,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,23,2,2018-01-23,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,627,-3,0,0,-1,0600-0659,23,650,727,5,729,732,3,3,0,0,0700-0759,0,,0,59,65,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,23,2,2018-01-23,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1157,-5,0,0,-1,1200-1259,14,1211,1249,7,1304,1256,-8,0,0,-1,1300-1359,0,,0,62,59,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,23,2,2018-01-23,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1751,-8,0,0,-1,1700-1759,10,1801,1839,13,1907,1852,-15,0,0,-1,1900-1959,0,,0,68,61,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,24,3,2018-01-24,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,611,-19,0,0,-2,0600-0659,22,633,713,4,729,717,-12,0,0,-1,0700-0759,0,,0,59,66,40,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,24,3,2018-01-24,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1157,-5,0,0,-1,1200-1259,13,1210,1246,12,1304,1258,-6,0,0,-1,1300-1359,0,,0,62,61,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,24,3,2018-01-24,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1753,-6,0,0,-1,1700-1759,14,1807,1849,8,1907,1857,-10,0,0,-1,1900-1959,0,,0,68,64,42,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,25,4,2018-01-25,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,625,-5,0,0,-1,0600-0659,15,640,719,5,729,724,-5,0,0,-1,0700-0759,0,,0,59,59,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,25,4,2018-01-25,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1153,-9,0,0,-1,1200-1259,18,1211,1251,11,1304,1302,-2,0,0,-1,1300-1359,0,,0,62,69,40,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,25,4,2018-01-25,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1747,-12,0,0,-1,1700-1759,12,1759,1835,14,1907,1849,-18,0,0,-2,1900-1959,0,,0,68,62,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,26,5,2018-01-26,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,620,-10,0,0,-1,0600-0659,15,635,708,5,729,713,-16,0,0,-2,0700-0759,0,,0,59,53,33,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,26,5,2018-01-26,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1150,-12,0,0,-1,1200-1259,17,1207,1242,11,1304,1253,-11,0,0,-1,1300-1359,0,,0,62,63,35,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,26,5,2018-01-26,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1759,,,,,1700-1759,13,1812,1850,15,1907,1905,-2,0,0,-1,1900-1959,0,,0,68,66,38,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,27,6,2018-01-27,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,620,-10,0,0,-1,0600-0659,13,633,706,5,728,711,-17,0,0,-2,0700-0759,0,,0,58,51,33,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,27,6,2018-01-27,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1400,1355,-5,0,0,-1,1400-1459,17,1412,1448,11,1500,1459,-1,0,0,-1,1500-1559,0,,0,60,64,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,28,7,2018-01-28,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,623,-7,0,0,-1,0600-0659,19,642,719,7,729,726,-3,0,0,-1,0700-0759,0,,0,59,63,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,28,7,2018-01-28,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1202,,,,,1200-1259,34,1236,1313,13,1304,1326,22,22,1,1,1300-1359,0,,0,62,84,37,145,0,0,22,0,0,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,28,7,2018-01-28,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1824,25,25,1,1,1700-1759,9,1833,1909,12,1907,1921,14,14,0,0,1900-1959,0,,0,68,57,36,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,29,1,2018-01-29,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,618,-12,0,0,-1,0600-0659,18,636,713,7,729,720,-9,0,0,-1,0700-0759,0,,0,59,62,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,29,1,2018-01-29,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1204,2,2,0,0,1200-1259,15,1219,1253,10,1304,1303,-1,0,0,-1,1300-1359,0,,0,62,59,34,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,29,1,2018-01-29,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1752,-7,0,0,-1,1700-1759,6,1758,1837,9,1907,1846,-21,0,0,-2,1900-1959,0,,0,68,54,39,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,30,2,2018-01-30,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,615,-15,0,0,-1,0600-0659,15,630,707,7,729,714,-15,0,0,-1,0700-0759,0,,0,59,59,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,30,2,2018-01-30,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1153,-9,0,0,-1,1200-1259,7,1200,1244,11,1304,1255,-9,0,0,-1,1300-1359,0,,0,62,62,44,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,30,2,2018-01-30,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1744,-15,0,0,-1,1700-1759,7,1751,1831,9,1907,1840,-27,0,0,-2,1900-1959,0,,0,68,56,40,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,31,3,2018-01-31,9E,3353,42,ABY,ATL,"Atlanta, GA",GA,630,623,-7,0,0,-1,0600-0659,18,641,714,6,729,720,-9,0,0,-1,0700-0759,0,,0,59,57,33,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,31,3,2018-01-31,9E,3298,42,ABY,ATL,"Atlanta, GA",GA,1202,1153,-9,0,0,-1,1200-1259,26,1219,1256,8,1304,1304,,,,,1300-1359,0,,0,62,71,37,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,31,3,2018-01-31,9E,3280,42,ABY,ATL,"Atlanta, GA",GA,1759,1814,15,15,1,1,1700-1759,16,1830,1903,6,1907,1909,2,2,0,0,1900-1959,0,,0,68,55,33,145,,,,,,2677,4191,109,4300,4246,-126.37,674.25
2018,1,1,1,1,2018-01-01,9E,3361,63,AEX,ATL,"Atlanta, GA",GA,600,554,-6,0,0,-1,0600-0659,15,609,818,8,850,826,-24,0,0,-2,0800-0859,0,,0,110,92,69,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,1,1,2018-01-01,9E,3368,63,AEX,ATL,"Atlanta, GA",GA,1424,1503,39,39,1,2,1400-1459,16,1519,1727,5,1709,1732,23,23,1,1,1700-1759,0,,0,105,89,68,500,0,0,0,0,23,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,2,2,2018-01-02,9E,3361,63,AEX,ATL,"Atlanta, GA",GA,600,556,-4,0,0,-1,0600-0659,26,622,835,10,850,845,-5,0,0,-1,0800-0859,0,,0,110,109,73,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,2,2,2018-01-02,9E,3305,63,AEX,ATL,"Atlanta, GA",GA,1122,1121,-1,0,0,-1,1100-1159,23,1144,1354,14,1407,1408,1,1,0,0,1400-1459,0,,0,105,107,70,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,2,2,2018-01-02,9E,3368,63,AEX,ATL,"Atlanta, GA",GA,1424,1505,41,41,1,2,1400-1459,13,1518,1724,9,1709,1733,24,24,1,1,1700-1759,0,,0,105,88,66,500,0,0,0,0,24,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,3,3,2018-01-03,9E,3293,63,AEX,ATL,"Atlanta, GA",GA,605,601,-4,0,0,-1,0600-0659,11,612,822,8,855,830,-25,0,0,-2,0800-0859,0,,0,110,89,70,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,3,3,2018-01-03,9E,5028,63,AEX,ATL,"Atlanta, GA",GA,1059,1049,-10,0,0,-1,1000-1059,11,1100,1312,13,1343,1325,-18,0,0,-2,1300-1359,0,,0,104,96,72,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,3,3,2018-01-03,9E,3322,63,AEX,ATL,"Atlanta, GA",GA,1740,1735,-5,0,0,-1,1700-1759,10,1745,1958,10,2030,2008,-22,0,0,-2,2000-2059,0,,0,110,93,73,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,4,4,2018-01-04,9E,3293,63,AEX,ATL,"Atlanta, GA",GA,605,558,-7,0,0,-1,0600-0659,26,624,838,9,855,847,-8,0,0,-1,0800-0859,0,,0,110,109,74,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,4,4,2018-01-04,9E,5028,63,AEX,ATL,"Atlanta, GA",GA,1059,1052,-7,0,0,-1,1000-1059,10,1102,1313,7,1343,1320,-23,0,0,-2,1300-1359,0,,0,104,88,71,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
2018,1,1,4,4,2018-01-04,9E,3286,63,AEX,ATL,"Atlanta, GA",GA,1427,1422,-5,0,0,-1,1400-1459,19,1441,1650,5,1710,1655,-15,0,0,-1,1700-1759,0,,0,103,93,69,500,,,,,,3397,4191,109,4300,4246,-126.37,674.25
